"Wine English Name
葡萄酒名称（英文）",,编号,Region,Grape Varieties,,"Wine Chinese Name
葡萄酒名称（中文）","Wine English Name
葡萄酒名称（英文）","Type
类型","Vintage
年份","Alcohol level
酒精度","Residual Sugar Level
甜度（g/L）"
Taylors Jaraman Chardonnay ,9?,CH-AU-B,Australia>South Australia,,Chardonnay,泰勒氏海马缘莎当妮白葡萄酒,Taylors Jaraman Chardonnay ,,2014,,
Wynns Connawarra Estate Chardonnay ,10,CH-AU-B,Australia>South Eastern Australia,,Chardonnay,酝思古纳华拉庄园霞多丽干白葡萄酒,Wynns Connawarra Estate Chardonnay ,,2014,,
Wolf Blass Gold Label Chardonnay,11,CH-AU-B,Australia>South Australia,,Chardonnay,澳大利亚禾富酒园金牌莎当妮干白葡萄酒,Wolf Blass Gold Label Chardonnay,,2013,,
Stella Bella Chardonnay,5,CH-AU-B,Australia>Margaret River,,Chardonnay_1,斯黛拉贝勒酒园霞多丽白,Stella Bella Chardonnay,White,2011,0.128,1.3
TOOLANGI RESERVE CHARDONNAY,13,CH-AU-C,Australia>Yarra>Dixons Creek,,Chardonnay_1,图朗吉庄园霞多丽珍藏干白葡萄酒,TOOLANGI RESERVE CHARDONNAY,干型,2008,0.14,
Morillon Muschelkalk,12?,CH-AU-C,Austria>Südsteiermark,,Chardonnay_1,,Morillon Muschelkalk,white wine,2013,0.125,1
ERRAZURIZ MAX RESERVA CHARDONNAY 2013 750ml ,7,CH-B,Chile>Aconcagua Valley>Aconcagua Valley,Chardonnay_1,,伊拉苏庄园珍藏莎当妮白葡萄酒,ERRAZURIZ MAX RESERVA CHARDONNAY 2013 750ml ,white,2013,0.135,干型
LAMELLE IGT TOSCANA VINO BIANCO 2012 750ml ,8,CH-B,Italy>TOSCANA>TOSCANA,Chardonnay_1,,勃罗家族拉美白葡萄酒,LAMELLE IGT TOSCANA VINO BIANCO 2012 750ml ,white,2012,0.12,干型
"Villa Maria Cellar Selection Chardonnay, Marlborough",3,CH-B,New Zealand>Marlborough,,Chardonnay_1,新玛利庄园马尔堡窖藏精选霞多丽,"Villa Maria Cellar Selection Chardonnay, Marlborough",White Wine,2014,0.135,1
"Villa Maria Reserve Chardonnay, Marlborough",4,CH-B,New Zealand>Martinborough,,Chardonnay_1,新玛利庄园马尔堡珍藏霞多丽,"Villa Maria Reserve Chardonnay, Marlborough",White Wine,2013,0.135,0
CRAGGY RANGE Kidnappers Chardonnay,5,CH-B,New Zealand>Hawke's Bay,,Chardonnay_1,克拉吉酒庄，劫湾霞多丽白,CRAGGY RANGE Kidnappers Chardonnay,White,2013,,
