"Wine English Name
葡萄酒名称（英文）",,编号,Region,Grape Varieties,,"Wine Chinese Name
葡萄酒名称（中文）","Wine English Name
葡萄酒名称（英文）","Type
类型","Vintage
年份","Alcohol level
酒精度","Residual Sugar Level
甜度（g/L）"
Frei Brother Reserve Alexander Valley Cabernet Sauvignon,13,CS-US-C,USA>California>Alexander Valley,Cabernet Sauvignon_1                ,,费雷兄弟亚历山大谷加本内苏维翁红葡萄酒,Frei Brother Reserve Alexander Valley Cabernet Sauvignon,红葡萄酒,2008,0.142,< 4
Smith & Hook Central Coast Cabernet Sauvignon 2012,14,CS-US-C,USA>California>Central Coast,Cabernet Sauvignon_1                ,,史密斯-虎克赤霞珠红葡萄酒,Smith & Hook Central Coast Cabernet Sauvignon 2012,Red Wine,2012,0.148,
"Ferrari-Carano, Trésor",15,CS-US-C,USA>California>Sonoma County,Cabernet Sauvignon_0.84/Petit Verdot_0.06/Malbec_0.04,,法拉利卡诺酒庄， 珍宝红,"Ferrari-Carano, Trésor",Red,2010,0.146,
"St Supéry, Estate Cabernet Sauvignon",16,CS-US-C,USA>California>Napa Valley,Cabernet Sauvignon_0.85/Petit Verdot_0.05/Cabernet Franc_0.05/Malbec_0.03,,顶圣酒庄，赤霞珠红,"St Supéry, Estate Cabernet Sauvignon",Red,2012,0.145,
The Derelict Vineyard,5,GR-A,Australia>McLaren Vale,,Grenache_1,,The Derelict Vineyard,,2011,0.144,
DON PASCUAL Clasico Navarra DO 2010,6,GR-A-3,Spain>Navarra>Ribera baja,Grenache_0.5/Tempranillo_0.2/Merlot_0.1/Cabernet Sauvignon_0.1,,唐-帕斯卡 经典里贝拉干红葡萄,DON PASCUAL Clasico Navarra DO 2010,Red,2010,0.13,0.7
"Mas Martinet Bru, ",7,GR-B,Spain>Priorat DO,,,"玛斯玛尔蒂内圃玉红, 普里奥拉托DO","Mas Martinet Bru, ",Red Wine,2011,0.15,
The Ironstone Pressings,8,GR-B,Australia>McLaren Vale,,Grenache_0.7/Shiraz_0.25/Mouvedre_0.05,,The Ironstone Pressings,,2011,0.141,
"Blackbilly Grenache - Shiraz - Mourvedre, McLaren Vale, Australia",4,GR-B-,Australia>McLaren Vale,Grenache_0.54/Shiraz_0.4/Mourvedre_0.06,,布莱克比利歌西慕,"Blackbilly Grenache - Shiraz - Mourvedre, McLaren Vale, Australia",干红,2010,0.145,
Los Helechos ,19,Mal,Argentina〉Mendoza,Malbec_1,,,Los Helechos ,Red,2012,0.14,
ESTANCIA MENDOZA Malbec,1,MAL-AR-A,Argentina〉Mendoza,Malbec_1,,艾丽莎门多萨玛贝干红葡萄酒,ESTANCIA MENDOZA Malbec,Red,2014,0.133,
ESTANCIA MENDOZA Malbec Roble,2,MAL-AR-A,Argentina〉Mendoza,Malbec_1,,艾丽莎门多萨玛贝柔博干红葡萄酒,ESTANCIA MENDOZA Malbec Roble,Red,2013,0.137,
Lo Tengo Malbec,3,MAL-AR-A,Argentina>Mendoza,Malbec_1,,探戈马尔白克干红葡萄酒,Lo Tengo Malbec,Red,2014,0.14,
Uxmal Malbec,4,MAL-AR-A,"Argentina>Mendoza>La perforin da，Tupungato，Lu Hande cuyo
",Malbec_1,,乌斯马尔 马贝克,Uxmal Malbec,干型,2014,0.135,3.55
Vino De Guarda Esmeralda Fernandez Malbec     ,5,MAL-AR-A,"Argentina>Mendoza>La perforin da，Tupungato，Lu Hande cuyo
",Malbec_1,,瓜尔达埃斯梅拉达 费尔南德斯 马贝克,Vino De Guarda Esmeralda Fernandez Malbec     ,干型,2012,0.135,
Alto Uxmal Argentian Style Malbec,6,MAL-AR-A,"Argentina>Mendoza>Tupungato
",Malbec_1,,乌斯马尔珍藏 马贝克,Alto Uxmal Argentian Style Malbec,干型,2012,0.135,3.1
ARGENTO Malbec Artesano,7,MAL-AR-A,Argentina>Mendoza,,malbac_1,银谷-阿缇莎红葡萄酒,ARGENTO Malbec Artesano,干型,2014,0.13,
ZUCCARDI TITO 2011,11,MAL-AR-B,Argentina>Mendoza,Malbac_0.68/Cabernet Sauvignon_0.17/Ancellotta_0.15,,朱卡迪蒂拓红葡萄酒,ZUCCARDI TITO 2011,Red,2011,0.15,3.22g/l
Argentina Malbec,12,MAL-AR-B,Argentina>Mendoza,Malbec_1,,凯洛马尔贝克红葡萄酒,Argentina Malbec,red,2013,0.14,
Perdriel Centenario,13,MAL-AR-B,Argentina>Mendoza,Malbec_0.4/Cabernet Sauvignon_0.3/Merlot_0.3,,普里奥庄园世纪珍藏红葡萄酒,Perdriel Centenario,Red,2008,0.145,
Malbec Alta  Angelica Zapata ,14,MAL-AR-B,"Argentina>Mendoza>Lun Lun Tower Area,Agger Column Area,Monica Lucia Area,Melon Tara Force Area",Malbec_1,,安吉莉卡 萨帕塔 顶级马贝克                                   ,Malbec Alta  Angelica Zapata ,干型,2009,0.14,
"Dominio Del Plata, Susana Balbo Malbec",15,MAL-AR-B,Argentina>Mendoza,Malbec_0.95/Cabernet Sauvignon_0.05,,德米诺酒庄，苏珊马贝克红,"Dominio Del Plata, Susana Balbo Malbec",Red,2012,0.14,
ARGENTO Malbec Reserva,16,MAL-AR-B,Argentina>Mendoza,,malbac_1,银谷-马尔贝克珍藏红葡萄酒,ARGENTO Malbec Reserva,干型,2012,0.13,
Alpasión Malbec,17？,MAL-AR-B,Argentina>Mendoza>Valle de Uco,,malbac_1,,Alpasión Malbec,red,2013,0.152,3
Alpasión Private Selection,18？,MAL-AR-B,Argentina>Mendoza>Valle de Uco,,malbac_0.54/Cabernet Franc_0.46,,Alpasión Private Selection,red,2012,0.162,2
Casa de Uco premium,??,MAL-AR-B,argentina>Mendoza>Uco valley,,malbac_1,,Casa de Uco premium,red,2013,0.138,
Casa de Uco Super premium,??,MAL-AR-B,argentina>Mendoza>Uco valley,,malbac_1,,Casa de Uco Super premium,red,2013,0.14,
2010 Ladaca Red Wine,6,ME-A,USA>Oregon>Rogue Valley,Merlot_0.61/Malbec_0.19/Cabernet Sauvignon_0.15/Cabernet Franc_0.05,,2010莉嘉红葡萄酒,2010 Ladaca Red Wine,,2010,0.135,
2009 Ridge Crest Columbia Valley Merlot,7,ME-A,USA>Washington>Columbia Valley,Merlot_1,,2009腾威梅洛,2009 Ridge Crest Columbia Valley Merlot,,2009,0.138,
MERLOT,14,ME-A,Macedonia>Tikvesh,Merlot_1,,波波夫美露干红葡萄酒,MERLOT,干红,2011,0.14,2.2
"Villa Maria Private Bin Merlot/Cabernet, Hawkes Bay",1,ME-A,New Zealand>Hawkes Bay,,Merlot_0.75/Cabernet_0.14/Malbec_0.07,新玛利庄园霍克斯湾珍匣梅洛卡本妮,"Villa Maria Private Bin Merlot/Cabernet, Hawkes Bay",Red Wine,2013,0.13,0
Kingsley Merlot 2012,15,ME-B,Australia>SOUTH EASTERN AUSTRALIA,Merlot_1,,金士利梅洛干红葡萄酒,Kingsley Merlot 2012,RED,2012,0.14,
ElephantHill Le Phant ,2,ME-B,New Zealand>Hawkes Bay,Merlot_0.65/Cabernet Sauvignon_0.15/Cabernet Franc_0.08/Malbec_0.12,,象山酒庄乐福红葡萄酒,ElephantHill Le Phant ,干红,2012,0.135,
2007 Basel Cellars Walla Walla Valley Merlot,8,ME-B,USA>Washington>Walla Walla Valley,Merlot_1,,2007巴塞尔酒窖瓦拉瓦拉谷梅洛,2007 Basel Cellars Walla Walla Valley Merlot,,2007,0.145,
ILPOLLENZA PORPORA,9,ME-B,Italy>MARCHE,Merlot_0.7/Montepulciano_0.3,,波罗波蓝红葡萄酒,ILPOLLENZA PORPORA,RED,2010,0.145,
Babich Black Label Gimblett Gravels Merlot Cabernet,3,ME-B,New Zealand>Hawke Bay,Merlot_0.76/Cabernet Sauvignon_0.24 ,,百祺黑标金伯莱碎石梅洛赤霞珠,Babich Black Label Gimblett Gravels Merlot Cabernet,干红,2013,0.13,0
FALCONERA 2009 IGT Merlot Colli Trevigiani,10,ME-B,Italy>Veneto>Montello,Merlot_1,,加斯帕瑞尼飞鹰美乐干红葡萄酒,FALCONERA 2009 IGT Merlot Colli Trevigiani,干型红葡萄酒,2009,13%,
THE TRIANGLE MERLOT HAWKES BAY  2013 750ml  ,4,ME-B,New Zealand>HAWKES BAY>New Zealand,Merlot_1,,思兰尼“三角”梅洛红葡萄酒,THE TRIANGLE MERLOT HAWKES BAY  2013 750ml  ,red,2013,0.14,干型
"Vina Casablanca, Nimbus Estate Merlot",16,ME-B,Chile>Casablanca Valley,Merlot_1,,卡萨布兰卡酒庄，尼博山庄系列 梅洛红,"Vina Casablanca, Nimbus Estate Merlot",Red,2011,0.148,
"Planeta, Merlot Rosso Di Sicilia, IGT",11,ME-B,Italy〉Sicily,Merlot_1,,朴奈达酒庄，西西里 梅乐红,"Planeta, Merlot Rosso Di Sicilia, IGT",Red,2010,0.145,
Merlot Cabernet2012,5,ME-B,New Zealand>Hawke's Bay,,Merlot/Cabernet,尼可波特 梅洛卡本纳2012,Merlot Cabernet2012,干型,2012,0.125,1.4
IL BORRO IL BORRO IGT TOSCANA 2010 750ml  ,12,ME-C,Italy>TOSCANA>TOSCANA,Merlot_0.5/Cabernet_0.35/Syrah_0.1/Petit Verdot_0.05,,勃罗家族托斯卡纳红葡萄酒,IL BORRO IL BORRO IGT TOSCANA 2010 750ml  ,red,2010,0.14,干型
Marianne Desirade       ,17,ME-C,South Africa> Paarl ,,Merlot_0.81/Cabernet Sauvignon _0.19,蔓瑞玳诗干红葡萄酒,Marianne Desirade       ,red,2005,0.155,
Livio Felluga Vertigo,13,ME-C-B,Italy>Venezia Giulia IGT,,Merlot_0.7/Cabernet Sauvignon_0.3,"丽斐迷魂记, 威尼西亚IGT",Livio Felluga Vertigo,Red Wine,2012,0.13,
LE NOBLE BORDEAUX AOC ROUGE 2009,1,ME-FR-A,France>Bordeaux,Merlot_0.6/Cabernet Sauvignon_0.2/Cabernet Franc_0.2,,贵族城堡波尔多红葡萄酒2009,LE NOBLE BORDEAUX AOC ROUGE 2009,Red,2009,0.13,0.1g/l
LEO de La Gaffeliere ,2,ME-FR-A,France>Bordeaux>AOC Bordeaux ,Merlot_0.7/Cabernet Sauvignon_0.3,,嘉芙利庄园波尔多干红葡萄酒,LEO de La Gaffeliere ,Red,2010,0.13,
Chateau Franc Perat Reserve Rouge,3,ME-FR-A,France>Bordeaux>Entre Deux Mers,Merlot_0.85/Cabernet Sauvignon_0.15,,蒙佩奇弗朗系列珍藏波尔多干红葡萄酒,Chateau Franc Perat Reserve Rouge,干红,2011,0.13,0.9
Marquis de Bordeaux,4,ME-FR-A,France>Bordeaux>Right Bank,Merlot_0.65/Cabernet Franc_0.35,,波尔多侯爵,Marquis de Bordeaux,Red Still Wine,2012,0.135,2.1
MALESAN AOC Bordeaux Rouge ,5,ME-FR-A,France>Bordeaux,Merlot_0.5/Cabernet Sauvignon_0.5,,马利尚波尔多红葡萄酒,MALESAN AOC Bordeaux Rouge ,Red,2012,0.125,
MALESAN VDF Merlot ,6,ME-FR-A,France>Bordeaux,Merlot_1,,马利尚美乐红葡萄酒,MALESAN VDF Merlot ,Red,2013,0.125,
CHATEAU CANTILLAC AOC Bordeaux Rouge,7,ME-FR-A,France>Bordeaux,Merlot_1,,坎亚酒庄波尔多干红葡萄酒,CHATEAU CANTILLAC AOC Bordeaux Rouge,Red,2012,0.13,
CHATEAU SAINTE CROIX DES EGRONS AOC Bordeaux Rouge ,8,ME-FR-A,France>Bordeaux,Merlot/Cabernet Sauvignon/Cabernet Franc,,埃格隆十字酒庄波尔多干红葡萄酒,CHATEAU SAINTE CROIX DES EGRONS AOC Bordeaux Rouge ,Red,2012,0.13,
Chateau Clos Bourbon,9,ME-FR-A,France>Premières Côtes de Bordeaux,,Merlot_0.9/Cabernet Sauvignon _0.1,克劳波本庄园干红葡萄酒,Chateau Clos Bourbon,干红,2011,0.125,
Chateau Des Rocs       ,15？,ME-FR-A,France >Castillon Cotes de Bordeaux ,,Merlot_0.9/Cabernet Franc_0.1,罗克庄园干红葡萄酒,Chateau Des Rocs       ,red,2012,0.135,
"Chateau La Pierriere, Cotes de Castillon AOC",10,ME-FR-A,France>Bordeaux>Castillon,,"Merlot_0.85/Cabernet Franc_0.15/Cabernet 
Sauvignon_0.05",拉比亚庄园红葡萄酒 ,"Chateau La Pierriere, Cotes de Castillon AOC",Red,2013,0.14,>1
La Petite Chapelle ,11,ME-FR-A,France>Bordeaux>AOC Bordeaux ,,Merlot_0.7/Cabernet Sauvignon_0.15/Cabernet Franc_0.15,霞贝尔,La Petite Chapelle ,Red,2014,,
Les Hauts de La Gaffeliere ,12,ME-FR-A,France>Bordeaux>AOC Bordeaux ,,Merlot_0.7/Cabernet Sauvignon_0.2/Cabernet Franc_0.1,上嘉芙利干红,Les Hauts de La Gaffeliere ,Red,2012,,
,13,ME-FR-A,Australia>New South Wales>Orange Town,,Merlot_1,积云60美乐红葡萄酒,,红,2013,0.14,
"Vina Casablanca, Cefiro Merlot",14,ME-FR-A,Chile>Maipo Valley,,Merlot_1,卡萨布兰卡酒庄，天逸珍藏系列 梅洛红,"Vina Casablanca, Cefiro Merlot",Red,2013,0.135,
Chateau Gravettes-Samonac elegance,17,ME-FR-B,France>Bordeaux> Côtes de Bourg,Merlot_0.75/Cabernet Sauvignon_0.25,,沙漠纳克古堡优雅系列,Chateau Gravettes-Samonac elegance,红葡萄酒,2011,0.13,
Ch Saint martin  – Bordeaux Superieur 2012,18,ME-FR-B,France>Bordeaux,Merlot_0.8/Cabernet Sauvignon_0.1/Malbec_0.1,,马丁庄园超级波尔多干红葡萄酒 2012,Ch Saint martin  – Bordeaux Superieur 2012,red,2012,0.13,dry
LEO de La Gaffeliere ,2,ME-FR-B,France>Bordeaux>AOC Saint-Emilion ,Merlot_0.6/Cabernet Franc_0.1/Cabernet Sauvignon_0.3,,嘉芙利庄园圣达美隆干红葡萄酒,LEO de La Gaffeliere ,Red,2011,0.13,
château du parc ,20,ME-FR-B,France>Bordeaux>Haut,Merlot_0.86/Cabernet Sauvignon_0.07/Malbec_0.07,,双匙·花园古堡红葡萄酒,château du parc ,Red Wine,2012,0.13,1.9
Haut Bertinerie Elegance Rouge,21,ME-FR-B,France>Bordeaux>Blaye Mound,Merlot_0.6/Cabernet Sauvignon_0.3/Cabernet Franc_0.1,,高伯乐优雅干红,Haut Bertinerie Elegance Rouge,干红,2009,0.14,
"COLLECTION ROYAL Ch. Robin Corbin AOC 2008
                                        Rocher",22,ME-FR-B,France〉Bordeaux>Montagne-St-Emilion,Merlot_0.55/Cabernet Sauvignon_0.3/Cabernet Franc_0.15,,罗泽客宾堡干红葡萄酒,"COLLECTION ROYAL Ch. Robin Corbin AOC 2008
                                        Rocher",Red,2008,0.13,1.3
"Clos Gerbaud, AOP Saint Emilion",23,ME-FR-B,France>Bordeaux〉Saint-Emilion,Merlo0.85/Cabernet Sauvignon_0.15,,捷尔波庄园红，圣爱美浓,"Clos Gerbaud, AOP Saint Emilion",Red,2013,0.125,
"J. Jencquel & Cie, Saint-Emilion Grand Cru",24,ME-FR-B,France>Bordeaux>Saint-Emilion,Merlot/Cabernet Franc/Cabernet Sauvignon,,捷杰希，圣爱美浓红,"J. Jencquel & Cie, Saint-Emilion Grand Cru",Red,2011,0.13,
Chateau Anthonic,25,ME-FR-B,France>Moulis－en－Medoc,,Merlot_0.68/Cabernet Sauvignon _0.29/Petit Verdot_0.03,昂多尼克古堡干红葡萄酒,Chateau Anthonic,干红,2009,0.14,
"CHATEAU LOUMELAT 
CUVEE J.J. LESGOURGUES",26,ME-FR-B,France>Bordeaux>Côtes de Blaye ,,Merlot_0.78/Cabernet Sauvignon_0.22,"洛美庄园特酿干红葡萄酒
","CHATEAU LOUMELAT 
CUVEE J.J. LESGOURGUES",red,2011,0.135,
"Cheval Noir Rouge, Saint Emilion AOC",27,ME-FR-B,France>Bordeaux>Saint Emilion,,Merlot_0.7/Cabernet Franc_0.3,黑马红葡萄酒圣艾米利永AOC,"Cheval Noir Rouge, Saint Emilion AOC",Red,2012,0.135,>1
Chateau La Tour de Segur ,28,ME-FR-B,France>Bordeaux>AOC Lussac Saint-Emilion,,Merlot_0.91/Cabernet Franc_0.06/Cabernet Sauvignon_0.03,拉图赛歌,Chateau La Tour de Segur ,Red,2012,,
Les Hauts de La Gaffeliere  ,29,ME-FR-B,France>Bordeaux>AOC Saint-Emilion,,Merlot_0.7/Cabernet Franc_0.1/Cabernet Sauvignon_0.2,上嘉芙利干红,Les Hauts de La Gaffeliere  ,Red,2012,,
Chateau Chapelle d'Alienor Selection Maracan,30,ME-FR-B,France>Bordeaux>AOC Bordeaux Superieur ,,Merlot_0.6/Cabernet Franc_0.3/Cabernet Sauvignon_0.1,艾诺堂,Chateau Chapelle d'Alienor Selection Maracan,Red,2011,,
La Dame d'Armens ,31,ME-FR-B,France>Bordeaux>AOC Saint-Emilion Grand Cru ,,Merlot_0.65/Cabernet Franc_0.35,艾眉夫人,La Dame d'Armens ,Red,2012,,
ABSOLU MAISON IMPERIALE,32,ME-FR-B,France>Bordeaux Superieur,,Merlot_0.8/Cabernet Sauvignon__0.1_Cabernet Franc_0.1,绝对皇室之超波,ABSOLU MAISON IMPERIALE,干型,2009,0.14,3
Chateau La Tour de  Bernadon,33,ME-FR-B,France>Bordeaux Superieur,,Merlot_0.85/Cabernet Sauvignon_0.15,拉图－贝纳古堡,Chateau La Tour de  Bernadon,干型,2012,0.13,3
"Chateau Treytins, AOP Pomerol",34,ME-FR-B,France>Bordeaux>Pomerol,,Merlot_0.73/Cabernet Franc_0.26/Cabernet Sauvignon_0.01,泰坦庄园红，波美侯,"Chateau Treytins, AOP Pomerol",Red,2011,,
Bad Boy,35,ME-FR-C,France>Bordeaux,Merlot_0.95/Cabernet Franc_0.05,,坏男孩红葡萄酒,Bad Boy,干红,2011,0.14,2.5
château hanteillan ,36,ME-FR-C,France>Bordeaux>Haut-Medoc,Merlot_0.5/Cabernet Sauvignon_0.45/Petit Verdot_0.05,,海特兰古堡红葡萄酒,château hanteillan ,Red Wine,2011,0.13,
château D'hanteillan ,37,ME-FR-C,France>Bordeaux>Haut-Medoc,Merlot_0.5/Cabernet Sauvignon_0.45/Petit Verdot_0.05,,海特兰古堡红葡萄酒,château D'hanteillan ,Red Wine,2012,0.13,
château gramond ,38,ME-FR-C,France>Bordeaux>Haut-Medoc,Merlot_0.68/Cabernet Sauvignon_0.2/Petit Verdot_0.12,,双匙·格拉蒙古堡红葡萄酒,château gramond ,Red Wine,2011,0.13,0.3
Chateau Paradis  Casseuil,39,ME-FR-C,France>Bordeaux>Entre-deux-mers,Merlot_0.7/Cabernet Sauvignon_0.3,,凯萨天堂古堡波尔多法定产区红葡萄酒,Chateau Paradis  Casseuil,red,2012,0.135,
"Domaine de Cigalus Rouge, IGP Pays d'Oc",43？,ME-FR-C,France>Languedoc-Roussillon>Languedoc-Roussillon,,Merlot_0.31/Syrah_0.25/Cabernet sauvignon_0.2,席加特酒庄红葡萄酒 ,"Domaine de Cigalus Rouge, IGP Pays d'Oc",Red,2012,0.145,>1
Clos la Gaffeliere  ,40,ME-FR-C,France>Bordeaux>AOC Saint-Emilion Grand Cru ,,Merlot_0.8/Cabernet Franc_0.2,嘉芙利园,Clos la Gaffeliere  ,Red,2012,,
Chateau Armens  ,41,ME-FR-C,France>Bordeaux>AOC Saint-Emilion Grand Cru ,,Merlot_0.7/Cabernet Franc_0.2/Cabernet Sauvignon_0.1,艾眉,Chateau Armens  ,Red,2010,,
"Chateau Clarisse, AOP Puisseguin Saint-Emilion",42,ME-FR-C,France>Bordeaux>Saint-Emilion,,Merlot_0.9/Cabernet Franc_0.1,克莱瑞庄园，普瑟冈，圣爱美浓,"Chateau Clarisse, AOP Puisseguin Saint-Emilion",Red,2012,,
Casa Silva Gran Reserva Petit Verdot 2012,2,OTR,Chile>Colchagua Valley>Colchagua Valley,Petit Verdot_1,,白银庄限量版小维度干红葡萄酒 2012,Casa Silva Gran Reserva Petit Verdot 2012,red,2012,0.145,dry
Grand Cuvee Reserve,8,OTR,Macedonia>Tikvesh,Vranec_0.4/Cabernet Sauvignon_0.3/Merlot_0.3,,波波夫名品佳酿干红葡萄酒,Grand Cuvee Reserve,干红,2007,0.13,5.4
Santa Rita Secret Reserve Red Blend,1,OTR,Chile,,,桑塔丽塔‘私家珍酿红葡萄酒,Santa Rita Secret Reserve Red Blend,Red,2013,0.13,
"Warwick, Three Cape Ladies",5,OTR,South Africa>Stellenbosch,,Pinotage_0.4/Cabernet Sauvignon_0.3/Shiraz_0.3,沃悦客酒庄，三位开普敦仕女红,"Warwick, Three Cape Ladies",Red,2012,0.135,
The Winemaster's Reserve Pinotage,4,OTR,South Africa>Western Cape>Paarl,,Pinotage_1,,The Winemaster's Reserve Pinotage,Red,,,
CHATEAU PEYROS VIEILLES VIGNES,10,OTR,France>Madiran,,Tannat_0.8/Cabernet Franc_0.2,百富堡老藤干红葡萄酒,CHATEAU PEYROS VIEILLES VIGNES,red,2008,0.135,
The Sticks & Stones,6,OTR,Australia>McLaren Vale,,Tempranillo/Grenache/Souzao ,,The Sticks & Stones,,2011,0.138,
The Fergus,7,OTR,Australia>Clare Valley,,Grenache_0.55/Tempranillo_0.15/Shiraz_0.2/Mataro_0.1,蒂姆亚当斯酒园费格斯红,The Fergus,Red,2012,0.14,1.6
Sassotondo Ciliegiolo,?,OTR-ITA,Italy>Tuscany>Maremma,,ciliegiolo_1,,Sassotondo Ciliegiolo,red,2014,0.135,"0,2 g/l"
San Lorenzo,?,OTR-ITA,Italy>Tuscany>Maremma,,ciliegiolo_1,,San Lorenzo,red,2011,0.15,"0,4 g/l"
Franze,?,OTR-ITA,Italy>Tuscany>Maremma,,ciliegiolo_0.4/teroldego_0.4/sangiovese_0.1/merlot_0.1,,Franze,red,2010,0.14,"1,3 g/l"
Terre Forti Vino Rosso,1,OTR-ITA-A,Italy,,,泰福迪宝树红葡萄酒,Terre Forti Vino Rosso,干红,,0.115,
Terre Forti Montepulciano d'Abruzzo,2,OTR-ITA-A,Italy>Abruzzo,Montepulciano_1,,泰福迪银树蒙特布齐诺干红葡萄酒,Terre Forti Montepulciano d'Abruzzo,干红,2013,0.12,
REFOSCO 2012 RED,3,OTR-ITA-A,Italy>Friuli-Venezia Giulia,REFOSCO_1,,拉图尼拉莱弗斯科红葡萄酒,REFOSCO 2012 RED,red,2012,0.135,干型
Magno Terra,8,OTR-ITA-B,Italy>Chieti,Montepulciano_1,,玛瑙园 - 地球干红,Magno Terra,Red,2013,0.135,
Calancia Nero d'Avola e Merlot,9,OTR-ITA-B,Italy>Sicily,Nero d'Avola_0.5/Merlot_0.5,,公爵卡兰尼卡黑达沃拉红葡萄酒,Calancia Nero d'Avola e Merlot,red wine,2012,0.125,
L'ARCIONE 2009 RED,12,OTR-ITA-B,Italy>Friuli-Venezia Giulia,Pignolo_0.5/Schioppettion_0.5,,拉图尼拉红葡萄酒,L'ARCIONE 2009 RED,red,2009,0.145,干型
Likos-Aglianico Del Vulture DOC 2011,13,OTR-ITA-B,Italy>Basilicata,Aglianico_1,,里奇艾格尼科红葡萄酒,Likos-Aglianico Del Vulture DOC 2011,red,2011,0.14,干型
COLLEZIONE FELLINI Amanero IGT 2010,10,OTR-ITA-B,Italy>Sicily,Nero d'Avola_1,,费里尼精选阿玛内罗干红葡萄酒,COLLEZIONE FELLINI Amanero IGT 2010,Red,2010,0.15,10.1
"Argiolas, Costera, Cannonau di Sardegna, DOC",14,OTR-ITA-B,Italy>Sardegna,Connonau/Carignano/Bovale,,阿吉拉斯酒庄，科斯达红,"Argiolas, Costera, Cannonau di Sardegna, DOC",Red,2012,0.14,
"Planeta, La Segreta Rosso Di Sicilia, DOC",11,OTR-ITA-B,Italy〉Sicily,Nero d'Avola_0.5/Merlot_0.25/Syrah_0.2/Cabernet Franc_0.05,,朴奈达酒庄，西西里 赛格丽特红,"Planeta, La Segreta Rosso Di Sicilia, DOC",Red,2013,0.13,
TERRE RARE RISERVA,15,OTR-ITA-B,Italy>Sardinia>Sussex,,Carignan_1,泰瑞珍藏干红葡萄酒,TERRE RARE RISERVA,干红,2009,0.13,
RAIM ,16,OTR-ITA-B,Italy>Sardinia,,Cannonau/Merlot,瑞美干红葡萄酒,RAIM ,干红,2010,0.13,
"Tasca d'Almerita Lamuri, ",7?,OTR-ITA-B,Italy>Sicily>Sicilia IGT,,Nero D'Avola_1,"塔斯卡拉姆利红葡萄酒, 西西里IGT","Tasca d'Almerita Lamuri, ",Red Wine,2013,0.135,2
"Planeta, Frappato, DOC Vittoria",17,OTR-ITA-B,Italy>Sicily,,Frappato_1,朴奈达酒庄，弗莱帕托红,"Planeta, Frappato, DOC Vittoria",Red,2014,,
Passo Delle Mule,18,OTR-ITA-C,Italy>Sicily,Nero d'Avola_1,,公爵帕索德拉穆红葡萄酒,Passo Delle Mule,red wine,2012,0.135,
DOMINE DRY WHITE WINE 2012,9,OTW,Spain>RUEDA,Verdejo_0.95/Sauvignon Blanc_0.05,,多米尼卢埃达干白葡萄酒,DOMINE DRY WHITE WINE 2012,WHITE WINE,2012,0.13,
Angelfish Moscato,1,OTW,Australia>Riverina>Murray Darling Riverland,Muscat Gordo Blanco_0.78/White Frontignac _0.22 ,,天使鱼慕斯卡白葡萄酒,Angelfish Moscato,white wine,2013,0.075,
PUECH NOBLE BLANC COTEAUX DU LANGUEDOC  2013 750ml,4,OTW,France>South France>South France,Grenache Blanc_0.5/Vermentino_0.35/Viognier_0.15,,皮埃什贵族朗格多克白葡萄酒,PUECH NOBLE BLANC COTEAUX DU LANGUEDOC  2013 750ml,white,2013,0.135,干型
DON PASCUAL Rueda DO 2010 ,10,OTW,Spain>Rueda,Verdejo_1,,唐-帕斯卡 拉斯阿门多斯干白葡萄酒,DON PASCUAL Rueda DO 2010 ,White,2010/2013,0.125,2
ROBERT GILLIARD LES MURETTES AOC 2013,12,OTW,Switzerland>Valais>Sion,Chasselas_1,,罗伯特-吉尔 勒斯慕特干白葡萄酒,ROBERT GILLIARD LES MURETTES AOC 2013,White,2013,0.125,3.9
Dr. Wehrheim Weisser Burgunder Buntstuck (Pinot Blanc),6,OTW,Germany>Pfalz,Pinot Blanc_1,,威海姆酒庄，白比诺白,Dr. Wehrheim Weisser Burgunder Buntstuck (Pinot Blanc),White,2013,0.12,
"Cuvee Classique,Muscadet Sevre et Maine, AOP",5,OTW,France>Loire Valley,Melon de Bourgogne,,传统佳酿白,"Cuvee Classique,Muscadet Sevre et Maine, AOP",White,2013,0.12,
Vionta Albarino,11,OTW,Spain>Rias Baixas,,Albarino_1,维恩达庄园干白葡萄酒,Vionta Albarino,White,2013,0.128,
"Moss Wood Ribbon Vale Sauvignon Blanc /Semillon,Margaret Riv",2,OTW,Australia>Margaret River >Ribbon Vale Vineyard,,Semillon_0.62/Sauvignon Blanc_0.38,慕丝森林缎带谷谢密雍/苏维翁白,"Moss Wood Ribbon Vale Sauvignon Blanc /Semillon,Margaret Riv",White Wine,2013,0.135,
"Fairview Darling Chenin Blanc, Paarl (SC)",7,OTW,Africa>Paarl,,Chenin  blanc_1,"锦绣庄园白诗南, 帕尔(SC)","Fairview Darling Chenin Blanc, Paarl (SC)",White Wine,2014,0.135,1.3 g/l
Gelber Muskateller Steirische Klassik ,3,OTW,Austria>Südsteiermark,,Gelber Muskateller_1,,Gelber Muskateller Steirische Klassik ,white wine,2014,0.11,3
1685 Chardonnay Pinot Noir,8,OTW,South Africa>Coastal Region,,Chardonnay_0.6/Pinot Noir_0.4,特级窖选莎当妮黑皮诺白,1685 Chardonnay Pinot Noir,White,2014,0.13,3.9
Chenin Blanc,1,OTW-A,,,,布琅兄弟梢南白葡萄酒,Chenin Blanc,,2014,0.11,18.5
