"Villa Maria Cellar Selection Chardonnay, Marlborough",CH-NZ-1_03,CH-NZ-B-1_03,B,NewZealand>Marlborough>,Chardonnay_1/_/_,新玛利庄园马尔堡窖藏精选霞多丽,"Villa Maria Cellar Selection Chardonnay, Marlborough",White Wine,2014,13.50%,1,,,,,
"Villa Maria Reserve Chardonnay, Marlborough",CH-NZ-1_04,CH-NZ-B-1_04,B,NewZealand>Martinborough>,Chardonnay_1/_/_,新玛利庄园马尔堡珍藏霞多丽,"Villa Maria Reserve Chardonnay, Marlborough",White Wine,2013,13.50%,0,,,,,
CRAGGY RANGE Kidnappers Chardonnay,CH-NZ-1_05,CH-NZ-B-1_05,B,NewZealand>HawkesBay>,Chardonnay_1/_/_,克拉吉酒庄，劫湾霞多丽白,CRAGGY RANGE Kidnappers Chardonnay,White Wine,2013,,,,,,,
Hawksdrift Chardonnay barrel fermented,CH-NZ-1_06,CH-NZ-C-1_06,C,NewZealand>Marlborough>,Chardonnay_1/_/_,飞鹰堡白金霞多丽白葡萄酒,Hawksdrift Chardonnay barrel fermented,White Wine,2012,13.75%,,,,,,
Morillon Muschelkalk,CH-1_01,CH-B-1_01,B,Austria>Südsteiermark>,Chardonnay_1/_/_,,Morillon Muschelkalk,White Wine,2013,13.00%,1,,,,,
LAMELLE IGT TOSCANA VINO BIANCO 2012 750ml ,CH-1_02,CH-B-1_02,B,Italy>TOSCANA>TOSCANA>,Chardonnay_1/_/_,勃罗家族拉美白葡萄酒,LAMELLE IGT TOSCANA VINO BIANCO 2012 750ml ,White Wine,2012,12.00%,干型,,,,,
Giacomo Bologna Braida Asso di Fiori-Langhe Chardonnay,CH-1_03,CH-C-1_03,C,Italy>Piedmont>,Chardonnay_1/_/_,百莱达酒庄梅花幺点葡萄酒,Giacomo Bologna Braida Asso di Fiori-Langhe Chardonnay,White Wine,2011,13.50%,,,,,,
"Vina Casablanca, Cefiro Chardonnay",CH-1_04,CH-A-1_04,A,Chile>CasablancaValley>,Chardonnay_1/_/_,卡萨布兰卡酒庄，天逸珍藏系列 霞多丽白,"Vina Casablanca, Cefiro Chardonnay",White Wine,2013,14.00%,,,,,,
ERRAZURIZ MAX RESERVA CHARDONNAY 2013 750ml ,CH-1_05,CH-B-1_05,B,Chile>AconcaguaValley>AconcaguaValley>,Chardonnay_1/_/_,伊拉苏庄园珍藏莎当妮白葡萄酒,ERRAZURIZ MAX RESERVA CHARDONNAY 2013 750ml ,White Wine,2013,13.50%,干型,,,,,
"Warwick, The First Lady Unoaked Chardonnay",CH-1_06,CH-A-1_06,A,SouthAfrica>Stellenbosch>,Chardonnay_1/_/_,沃悦客酒庄，第一夫人霞多丽白,"Warwick, The First Lady Unoaked Chardonnay",White Wine,2014,13.00%,,,,,,
"Dark Horse™ Chardonnay
California
",CH-1_07,CH-A-1_07,A,USA>California>CentralValley>,Chardonnay_1/_/_,骏琪霞多丽白葡萄酒,"Dark Horse™ Chardonnay
California
",White Wine,2012,13.50%,,,,,,
Three Bears Chardonnay,CH-1_08,CH-A-1_08,A,USA>California>SonomaCounty>,Chardonnay_1/_/_,三只熊霞多丽干白葡萄酒,Three Bears Chardonnay,White Wine,2012,14.30%,Dry,,,,,
Beringer California Chardonnay,CH-1_09,CH-A-1_09,A,USA>California>,Chardonnay_1/_/_,贝灵哲庄园加州精选莎当妮白葡萄酒,Beringer California Chardonnay,White Wine,2013,,,,,,,
