CN_CS_A_,10,2012 九顶庄园珍藏干红葡萄酒,2012 nine peaks reserva,Red,"China, 山东Shandong, 青岛Qingdao",2012,13.5,3.4,是,Cabernet Sauvignon>1;>;>;>;>;>;>;>;,,,,,
CN_CS_A_,11,2012 九顶庄园干红葡萄酒,2012 nine peaks,Red,"China, 山东Shandong, 青岛Qingdao",2012,13.5,3.2,否,Cabernet Sauvignon>1;>;>;>;>;>;>;>;,,,,,
CN_CS_A_,2,兰山玉卓（赤霞珠美乐）,Lan Shan Jade,Red,"China, Ningxia 宁夏, 银川贺兰山东麓",2011,13,,是,Cabernet Sauvignon>;Merlot>;>;>;>;>;>;>;,,,,,
CN_CS_A_,3,尼雅特酿级A区赤霞珠干红葡萄酒,NIYA Cabernet Sauvignon Dry Red Wine Area A,Red,"China, Xingjiang 新疆, 天山北麓",2012,12.5,,是,Cabernet Sauvignon>1;>;>;>;>;>;>;>;,,,,,
CN_CS_A_,4,西夏王玉泉国际酒庄赤霞珠（珍品）干红,XIXIA KING Dry red wine Cabernet Sauvignon,Red,"China, 贺兰山东麓, 玉泉营",2012,12,,是,Cabernet Sauvignon>100%;>;>;>;>;>;>;>;,,,,,
CN_CS_A_,5,达祖干红葡萄酒,DAZUWINE,Red,"China, Si Chuan 四川, 泸沽湖",2013,12.5,,是,Cabernet Sauvignon>1;>;>;>;>;>;>;>;,,,,,
CN_CS_A_,6,四星精品干红葡萄酒,Red Wine four-star boutique,Red,"China, Ningxia 宁夏贺兰山东麓, 玉泉营",2013,13.3,,是,Cabernet Sauvignon>0.5;Cabernet Gernischt>0.5;>;>;>;>;>;>;,,,,,
CN_CS_A_,7,贺东庄园赤霞珠干红葡萄酒,Hedong Manor Cabernet Sauvignon dry red wine,Red,"China, Ningxia 宁夏贺兰山东麓, 石嘴山",2012,12.7,,是,Cabernet Sauvignon>0.85;Syrah>0.15;>;>;>;>;>;>;,,,,,
CN_CS_A_,8,贺兰山经典赤霞珠干红葡萄酒,Helan Mountain Classic Cabernet Sauvignon,Red,"China, Ningxia 宁夏, 贺兰山东麓",2010,14,,是,Cabernet Sauvignon>1;>;>;>;>;>;>;>;,,,,,
CN_CS_A_,9,贺兰山珍藏赤霞珠干红葡萄酒,Helan Mountain Special Reserve Cabernet Sauvignon,Red,"China, Ningxia 宁夏, 贺兰山东麓",2010,14,,是,Cabernet Sauvignon>1;>;>;>;>;>;>;>;,,,,,
CN_CS_B_,1,莫高窟迟采串选赤霞珠干红葡萄酒,Mogaoku Chicachuanixuan Cabernet Sauvignon dry red wine,Red,"China, Gan Su 甘肃, 敦煌",2012,13,,是,Cabernet Sauvignon>13;>;>;>;>;>;>;>;,,,,,
CN_CS_B_,2,莫高窟迟采粒选赤霞珠干红葡萄酒,Mogaoku Chicailixuan Cabernet Sauvignon dry red wine,Red,"China, Gan Su 甘肃, 敦煌",2012,13,,是,Cabernet Sauvignon>85;>;>;>;>;>;>;>;,,,,,
CN_CS_B_,3,汉森庄园干红葡萄酒（2008）,HANSEN Chateau Dry Red Wine(2008）,Red,"China, 乌海, ",2008,14,,是,Cabernet Sauvignon>0.7;Cabernet Gernischt>0.25;Cabernet Franc>0.05;>;>;>;>;>;,,,,,
CN_CS_B_,4,留世，传奇限量珍藏红葡萄酒,"Legacy Peak, Cabernet Sauvignon & Merlot",Red,"China, Ningxia, ",2011,13.5,,是,Cabernet Sauvignon>0.7;Merlot>0.3;>;>;>;>;>;>;,,,,,
CN_CS_B_,5,尼雅2012年份粒选赤霞珠干红葡萄酒,NIYA  Cabernet Sauvignon Dry Red Wine 2012 Vintage,Red,"China, Xingjiang 新疆, 天山北麓",2012,14%Vol,,是,Cabernet Sauvignon>100%;>;>;>;>;>;>;>;,,,,,
CN_CS_B_,6,贺尊窖藏赤霞珠干红,Cabernet sauvignon dry red,Red,"China, Ningxia 宁夏贺兰山东麓, 玉泉营",2012,13.5,,是,Cabernet Sauvignon>1;>;>;>;>;>;>;>;,,,,,
CN_CS_B_,7,金酿赤霞珠干红葡萄酒,KIN CS,Red,"China, 怀来, 东花园",2012,14.5,,是,Cabernet Sauvignon>0.9;>;>;>;>;>;>;>;,,,,,
CN_CS_B_,8,赤霞珠干红葡萄酒（威兰尼诺）,Wei Lan Ni Nuo Cabernet Sauvignon,Red,"China, Ningxia 宁夏, 贺兰山东麓",2013,14%,2,   是,Cabernet Sauvignon>0.8;Merlot>0.16;Cabernet Gernischt>0.04;>;>;>;>;>;,,,,,
CN_CS_B_,9,赤霞珠干红葡萄酒（圣威兰）,Sheng Wei Lan Cabernet Sauvignon,Red,"China, Ningxia 宁夏, 贺兰山东麓",2013,14%,2,   是,Cabernet Sauvignon>0.8;Merlot>0.2;>;>;>;>;>;>;,,,,,
CN_DESS_A_,1,迟采霜红葡萄酒,Late-harvest Red wine,Sweet Red,"China, 乌海, ",2013,11,,是,Cabernet Sauvignon>1;>;>;>;>;>;>;>;,,,,,
CN_DESS_A_,2,晚摘山葡萄,wild grape wine ,Sweet Red,"China, 东北, ",2012,10,,是,Vitis amurensis Rupr. 山葡萄>1;>;>;>;>;>;>;>;,,,,,
CN_DESS_B_,3,塔山红酒庄---半干型山葡萄黒酒,TaShan Chateau----Semi dry  mountain grape black liquor,Off-Dry Red,"China, Ji Lin 吉林, 四平",2013,12.5,,是,双红>1;>;>;>;>;>;>;>;,,,,,
CN_DESS_B_,4,白冰葡萄酒,white ice,Sweet white,"China, 辽宁桓仁, ",2010,11,,是,Vidal>1;>;>;>;>;>;>;>;,,,,,
CN_ME_A_,1,2012 兰一经典窖藏干红,CHAteau Lanny Grand reserve 2012,Red,"China, Ningxia 宁夏, 贺兰山东麓",2012,13.4,,是,Merlot>0.85;Cabernet Sauvignon>0.15;>;>;>;>;>;>;,,,,,
CN_ME_A_,2,珍藏梅鹿辄葡萄酒,Selected Merlot Wine,Red,"China, 乌海, ",2009,13,,是,Merlot>1;>;>;>;>;>;>;>;,,,,,
CN_ME_A_,3,贺兰山经典梅洛葡萄酒,Helan Mountain Classic Merlot,Red,"China, Ningxia 宁夏, 贺兰山东麓",2011,14.5,,是,Merlot>1;>;>;>;>;>;>;>;,,,,,
CN_ME_A_,4,贺兰山珍藏梅洛干红葡萄酒,Helan Mountain Special Reserve Cabernet Sauvignon,Red,"China, 银川, 贺兰山东麓",2010,14,,是,Merlot>1;>;>;>;>;>;>;>;,,,,,
CN_ME_B_,5,2013兰一经典窖藏梅鹿辄,CHateau Lanny Merlot Grand Reserve 2013,Red,"China, Ningxia 宁夏, 贺兰山东麓",2013,13.7,,是,Merlot>1;>;>;>;>;>;>;>;,,,,,
CN_ME_B_,6,2011 兰一经典窖藏干红,CHATEAU Lanny Grand Reserve 2011,Red,"China, Ningxia 宁夏, 贺兰山东麓",2011,13.2,,是,Merlot>0.85;Cabernet Sauvignon>0.15;>;>;>;>;>;>;,,,,,
CN_OTR_A_,1,莫高窟典藏黑比诺,Mogaoku Diancang Pinot Noir dry red wine,Red,"China, Gan Su 甘肃, 敦煌",2012,13,,是,Pinot Noir>85;>;>;>;>;>;>;>;,,,,,
CN_OTR_A_,2,汉森雄鹰蛇龙珠干红葡萄酒,HANSEN Tercel Cabernet Gernischet  Dry Red Wine,Red,"China, 乌海, ",NV,12.5,,是,Cabernet Gernischt>1;>;>;>;>;>;>;>;,,,,,
CN_OTR_A_,3,西夏王玉泉国际酒庄蛇龙珠干红（上品）,XIXIA KING Dry red wine Cabernet Gernischt,Red,"China, 贺兰山东麓, 玉泉营",2012,12,,是,Cabernet Gernischt>1;>;>;>;>;>;>;>;,,,,,
CN_OTR_A_,4,2012至尊蛇龙珠干红葡萄酒,2012 extreme cabernetgernischt dry red Wine,Red,"China, Ningxia 宁夏贺兰山东麓, 玉泉营",2012,12.6,,是,Cabernet Gernischt>1;>;>;>;>;>;>;>;,,,,,
CN_OTR_A_,5,贺兰山珍藏黑品乐干红葡萄酒,Helan Mountain Special Reserve Pinot Noir,Red,"China, Ningxia 宁夏, 贺兰山东麓",2010,13.5,,是,Pinot Noir>1;>;>;>;>;>;>;>;,,,,,
CN_OTR_B_,10,家和国韵蛇龙珠干红葡萄酒,Jiahe Wine Cabernet Gernischt,Red,"China, He Bei 河北, 沙城",,0.12,,,Cabernet Gernischit>;>;>;>;>;>;>;>;,,,,,
CN_OTR_B_,6,塔山红酒庄---干型山葡萄黒酒,TaShan Chateau----Dry mountain grape black liquor,Red,"China, Ji Lin 吉林, 四平",2013,12.5,,是,双红>100;>;>;>;>;>;>;>;,,,,,
CN_OTR_B_,7,贺尊窖藏蛇龙珠干红,SheLongZhu dry red,Red,"China, Ningxia 宁夏贺兰山东麓, 玉泉营",2012,13.5,,是,Cabernet Gernischt>1;>;>;>;>;>;>;>;,,,,,
CN_OTR_B_,8,Ningxia 宁夏红集团沙坡头蛇龙珠2012,Ningxiahong group Shapotou Manor wine(Cabernet Gernischt 2012),Red,"China, Ningxia 宁夏, ",2012,13,,是,Cabernet Gernischt>0.9;>;>;>;>;>;>;>;,,,,,
CN_OTR_B_,9,Ningxia 宁夏红集团沙坡头蛇龙珠2011,Ningxiahong group Shapotou Manor wine(Cabernet Gernischt 2011),Red,"China, Ningxia 宁夏, ",2011,12.3,,是,Cabernet Gernischt>0.9;>;>;>;>;>;>;>;,,,,,
CN_OTW_A_,1,2013兰一灰比诺干白,CHAteau LANNY Pinot Grigio 2013,White,"China, Ningxia 宁夏, 贺兰山东麓",2013,12.9,,是,Pinot Gris>0.95;Chardonnay>0.05;>;>;>;>;>;>;,,,,,
CN_OTW_A_,2,尼雅优酿级雷司令干白葡萄酒,NIYA Riesling Dry White Wine,White,"China, Xingjiang 新疆, 天山北麓",2012,12%Vol,,是,Riesling>100%;>;>;>;>;>;>;>;,,,,,
CN_OTW_A_,3,西夏王玉泉国际酒庄贵人香干白（金品）,XIXIA KING Dry white wine Italian Riesling,White,"China, Helan Mountain贺兰山东麓, 玉泉营",2013,11.5,,是,Italian Riesling>1;>;>;>;>;>;>;>;,,,,,
CN_ROSE_A_,1,西夏王桃红葡萄酒,XIXIA KING Dry rose wine,Rose,"China, Helan Mountain贺兰山东麓, 玉泉营",2013,11.5,,是,Cabernet Sauvignon>1;>;>;>;>;>;>;>;,,,,,
CN_ROSE_A_,2,马丁庄园桃红葡萄酒,matinvineyard  rose wine,Rose,"China, He Bei 河北怀来, 沙城产区",2013,12,,是,Cabernet Sauvignon>1;>;>;>;>;>;>;>;,,,,,
CN_ROSE_A_,3,马丁庄园黑比诺桃红葡萄酒,matinvineyard  Pinot Noir rose wine,Rose,"China, He Bei 河北怀来, 沙城产区",2013,12,,是,Pinot Noir>1;>;>;>;>;>;>;>;,,,,,
CS_A_,1,野性王座赤霞珠红葡萄酒,Wild Throne Cabernet Sauvignon,Red,"South Africa, Western Cape, ",2012,13.5,,是,Cabernet Sauvignon>1;>;>;>;>;>;>;>;,,,,,
CS_A_,10,复活节岛珍藏赤霞珠红葡萄酒,ISLAND EASTER RESERVA CABERNET SAUVIGNON,Off-dry Red,"Chile, Central Valley, Central Valley",2012,,,,Cabernet Sauvignon>0.85;Merlot>0.15;>;>;>;>;>;>;,,,,,
CS_A_,11,嘉露家族赤霞珠红葡萄酒,Gallo Family Vineyard Cabernet Sauvignon,Off-Dry Red,"USA, California, ",NV,12.5,,是,Cabernet Sauvignon>1;>;>;>;>;>;>;>;,,,,,
CS_A_,2,圣卡罗家族珍藏加本纳沙威浓红葡萄酒,Reserva de Familia Cabernet Sauvignon,Red,"Chile, Maipo Valley, sub-region (optional)",2011,14.5,Sweetness,是,Cabernet Sauvignon>100;>;>;>;>;>;>;>;,,,,,
